,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,grade,sqft_above,sqft_basement,yr_built,lat,long,sqft_living15,sqft_lot15,Average,Fair,Good,Poor,Very Good,log_price
0,221900.0,3,1.0,1180,5650,1.0,0,7,1180,0,1955,47.5112,-122.257,1340,5650,1,0,0,0,0,5.346157302232008
1,538000.0,3,2.25,2570,7242,2.0,0,7,2170,400,1951,47.721,-122.319,1690,7639,1,0,0,0,0,5.730782275666389
2,180000.0,2,1.0,770,10000,1.0,0,6,770,0,1933,47.7379,-122.233,2720,8062,1,0,0,0,0,5.2552725051033065
3,604000.0,4,3.0,1960,5000,1.0,0,7,1050,910,1965,47.5208,-122.393,1360,5000,0,0,0,0,1,5.781036938621132
4,510000.0,3,2.0,1680,8080,1.0,0,8,1680,0,1987,47.6168,-122.045,1800,7503,1,0,0,0,0,5.707570176097937
5,1225000.0,4,4.5,5420,101930,1.0,0,11,3890,1530,2001,47.6561,-122.005,4760,101930,1,0,0,0,0,6.088136088700551
6,257500.0,3,2.25,1715,6819,2.0,0,7,1715,0,1995,47.3097,-122.327,2238,6819,1,0,0,0,0,5.4107772333772095
7,291850.0,3,1.5,1060,9711,1.0,0,7,1060,0,1963,47.4095,-122.315,1650,9711,1,0,0,0,0,5.465159697646179
8,229500.0,3,1.0,1780,7470,1.0,0,7,1050,730,1960,47.5123,-122.337,1780,8113,1,0,0,0,0,5.36078268987328
9,323000.0,3,2.5,1890,6560,2.0,0,7,1890,0,2003,47.3684,-122.031,2390,7570,1,0,0,0,0,5.509202522331103
10,662500.0,3,2.5,3560,9796,1.0,0,8,1860,1700,1965,47.6007,-122.145,2210,8925,1,0,0,0,0,5.821185882608845
11,468000.0,2,1.0,1160,6000,1.0,0,7,860,300,1942,47.69,-122.292,1330,6000,0,0,1,0,0,5.670245853074124
12,310000.0,3,1.0,1430,19901,1.5,0,7,1430,0,1927,47.7558,-122.229,1780,12697,0,0,1,0,0,5.491361693834273
13,400000.0,3,1.75,1370,9680,1.0,0,7,1370,0,1977,47.6127,-122.045,1370,10208,0,0,1,0,0,5.6020599913279625
14,530000.0,5,2.0,1810,4850,1.5,0,7,1810,0,1900,47.67,-122.394,1360,4850,1,0,0,0,0,5.724275869600789
15,650000.0,4,3.0,2950,5000,2.0,3,9,1980,970,1979,47.5714,-122.375,2140,4000,1,0,0,0,0,5.812913356642856
16,395000.0,3,2.0,1890,14040,2.0,0,7,1890,0,1994,47.7277,-121.962,1890,14018,1,0,0,0,0,5.596597095626461
17,485000.0,4,1.0,1600,4300,1.5,0,7,1600,0,1916,47.6648,-122.343,1610,4300,0,0,1,0,0,5.685741738602264
18,189000.0,2,1.0,1200,9850,1.0,0,7,1200,0,1921,47.3089,-122.21,1060,5095,0,0,1,0,0,5.276461804173244
19,230000.0,3,1.0,1250,9774,1.0,0,7,1250,0,1969,47.3343,-122.306,1280,8850,0,0,1,0,0,5.361727836017593
20,385000.0,4,1.75,1620,4980,1.0,0,7,860,760,1947,47.7025,-122.341,1400,4980,0,0,1,0,0,5.585460729508501
21,285000.0,5,2.5,2270,6300,2.0,0,8,2270,0,1995,47.3266,-122.169,2240,7005,1,0,0,0,0,5.45484486000851
22,252700.0,2,1.5,1070,9643,1.0,0,7,1070,0,1985,47.3533,-122.166,1220,8386,1,0,0,0,0,5.402605241919915
23,329000.0,3,2.25,2450,6500,2.0,0,8,2450,0,1985,47.3739,-122.172,2200,6865,0,0,1,0,0,5.517195897949974
24,233000.0,3,2.0,1710,4697,1.5,0,6,1710,0,1941,47.3048,-122.218,1030,4705,0,0,0,0,1,5.367355921026019
25,937000.0,3,1.75,2450,2691,2.0,0,8,1750,700,1915,47.6386,-122.36,1760,3573,1,0,0,0,0,5.971739590887778
26,667000.0,3,1.0,1400,1581,1.5,0,8,1400,0,1909,47.6221,-122.314,1860,3861,0,0,0,0,1,5.824125833916549
27,438000.0,3,1.75,1520,6380,1.0,0,7,790,730,1948,47.695,-122.304,1520,6235,1,0,0,0,0,5.6414741105041
28,719000.0,4,2.5,2570,7173,2.0,0,8,2570,0,2005,47.7073,-122.11,2630,6026,1,0,0,0,0,5.8567288903828825
29,580500.0,3,2.5,2320,3980,2.0,0,8,2320,0,2003,47.5391,-122.07,2580,3980,1,0,0,0,0,5.763802224074593
30,280000.0,2,1.5,1190,1265,3.0,0,7,1190,0,2005,47.7274,-122.357,1390,1756,1,0,0,0,0,5.447158031342219
31,687500.0,4,1.75,2330,5000,1.5,0,7,1510,820,1929,47.6823,-122.368,1460,5000,0,0,1,0,0,5.8372727025023
32,535000.0,3,1.0,1090,3000,1.5,0,8,1090,0,1929,47.6889,-122.375,1570,5080,0,0,1,0,0,5.7283537820212285
33,322500.0,4,2.75,2060,6659,1.0,0,7,1280,780,1981,47.4276,-122.157,2020,8720,1,0,0,0,0,5.508529718971286
34,696000.0,3,2.5,2300,3060,1.5,0,8,1510,790,1930,47.6827,-122.31,1590,3264,1,0,0,0,0,5.842609239610562
35,550000.0,4,1.0,1660,34848,1.0,0,5,930,730,1933,47.6621,-122.132,2160,11467,0,0,0,1,0,5.740362689494244
36,640000.0,4,2.0,2360,6000,2.0,0,8,2360,0,1904,47.6702,-122.362,1730,4700,0,0,1,0,0,5.8061799739838875
37,240000.0,4,1.0,1220,8075,1.0,0,7,890,330,1969,47.3341,-122.282,1290,7800,0,1,0,0,0,5.380211241711606
38,605000.0,4,2.5,2620,7553,2.0,0,8,2620,0,1996,47.5301,-122.18,2620,11884,1,0,0,0,0,5.781755374652469
39,625000.0,4,2.5,2570,5520,2.0,0,9,2570,0,2000,47.6145,-122.027,2470,5669,1,0,0,0,0,5.795880017344075
40,775000.0,4,2.25,4220,24186,1.0,0,8,2600,1620,1984,47.445,-122.347,2410,30617,1,0,0,0,0,5.889301702506311
41,861990.0,5,2.75,3595,5639,2.0,0,9,3595,0,2014,47.6848,-122.016,3625,5639,1,0,0,0,0,5.935502227576441
42,685000.0,3,1.0,1570,2280,2.0,0,7,1570,0,1922,47.6413,-122.364,1580,2640,1,0,0,0,0,5.835690571492425
43,309000.0,3,1.0,1280,9656,1.0,0,6,920,360,1959,47.4485,-122.175,1340,8808,0,0,1,0,0,5.489958479424835
44,488000.0,3,2.5,3160,13603,2.0,0,8,3160,0,2003,47.7443,-121.977,3050,9232,1,0,0,0,0,5.688419822002711
45,210490.0,3,1.0,990,8528,1.0,0,6,990,0,1966,47.3066,-122.371,1228,8840,1,0,0,0,0,5.323231468114774
46,785000.0,4,2.5,2290,13416,2.0,0,9,2290,0,1981,47.6194,-122.151,2680,13685,0,0,1,0,0,5.894869656745253
47,450000.0,3,1.75,1250,5963,1.0,0,7,1250,0,1953,47.6796,-122.301,970,5100,0,0,1,0,0,5.653212513775344
48,1350000.0,3,2.5,2753,65005,1.0,2,9,2165,588,1953,47.4041,-122.451,2680,72513,0,0,0,0,1,6.1303337684950066
49,228000.0,3,1.0,1190,9199,1.0,0,7,1190,0,1955,47.4258,-122.322,1190,9364,1,0,0,0,0,5.357934847000454
50,345000.0,5,2.5,3150,9134,1.0,0,8,1640,1510,1966,47.4934,-122.189,1990,9133,0,0,1,0,0,5.537819095073274
51,600000.0,3,1.75,1410,4080,1.0,0,7,1000,410,1950,47.6808,-122.384,1410,4080,0,0,1,0,0,5.778151250383644
52,585000.0,2,1.75,1980,8550,1.0,0,7,990,990,1981,47.6989,-122.369,1480,6738,1,0,0,0,0,5.76715586608218
53,920000.0,5,2.25,2730,6000,1.5,0,8,2130,600,1927,47.6571,-122.281,2730,6000,1,0,0,0,0,5.963787827345556
54,885000.0,4,2.5,2830,5000,2.0,0,9,2830,0,1995,47.6597,-122.29,1950,5000,1,0,0,0,0,5.946943270697825
55,292500.0,4,2.5,2250,4495,2.0,0,7,2250,0,2008,47.3663,-122.114,2250,4500,1,0,0,0,0,5.4661258704182
56,301000.0,3,2.5,2420,4750,2.0,0,8,2420,0,2003,47.3663,-122.122,2690,4750,1,0,0,0,0,5.478566495593843
57,951000.0,5,3.25,3250,14342,2.0,4,8,3250,0,1968,47.588,-122.116,2960,11044,0,0,1,0,0,5.978180516937414
58,430000.0,4,3.0,1850,9976,2.0,0,8,1850,0,1991,47.5059,-122.149,2270,8542,1,0,0,0,0,5.633468455579586
59,650000.0,3,2.25,2150,21235,1.0,3,8,1590,560,1959,47.4336,-122.339,2570,18900,0,0,1,0,0,5.812913356642856
60,289000.0,3,1.75,1260,8400,1.0,0,7,1260,0,1954,47.4366,-122.335,1290,8750,1,0,0,0,0,5.460897842756548
61,505000.0,3,1.75,2519,8690,2.0,0,8,2519,0,1973,47.4428,-122.344,2500,9500,0,0,0,0,1,5.703291378118661
62,549000.0,3,1.75,1540,1044,3.0,0,8,1540,0,2014,47.6765,-122.32,1580,3090,1,0,0,0,0,5.739572344450092
63,425000.0,3,2.25,1660,6000,1.0,0,7,1110,550,1979,47.6113,-122.297,1440,4080,1,0,0,0,0,5.628388930050312
64,317625.0,3,2.75,2770,3809,1.5,0,7,1770,1000,1925,47.5747,-122.304,1440,4000,0,0,0,0,1,5.501914678058426
65,975000.0,4,2.5,2720,11049,2.0,0,10,2720,0,1989,47.5815,-122.192,2750,11049,1,0,0,0,0,5.989004615698537
66,287000.0,4,2.5,2240,4648,2.0,0,7,2240,0,2005,47.3378,-122.257,2221,4557,1,0,0,0,0,5.457881896733992
67,204000.0,3,1.0,1000,12070,1.0,0,7,1000,0,1968,47.3621,-122.11,1010,12635,0,0,1,0,0,5.309630167425898
68,1325000.0,5,2.25,3200,20158,1.0,0,8,1600,1600,1965,47.6303,-122.215,3390,20158,1,0,0,0,0,6.122215878272827
69,1040000.0,5,3.25,4770,50094,1.0,0,11,3070,1700,1973,47.6525,-122.16,3530,38917,0,0,1,0,0,6.017033339298781
70,325000.0,3,2.0,1260,5612,1.0,0,7,1260,0,1972,47.7362,-122.179,1640,4745,0,0,1,0,0,5.511883360978874
71,571000.0,4,2.0,2750,7807,1.5,0,7,2250,500,1916,47.7168,-122.287,1510,7807,0,0,0,0,1,5.756636108245848
72,360000.0,4,2.5,2380,5000,2.0,0,8,2380,0,2005,47.3608,-122.036,2420,5000,1,0,0,0,0,5.556302500767287
73,349000.0,3,1.75,1790,50529,1.0,0,7,1090,700,1965,47.3511,-122.073,1940,50529,0,0,0,0,1,5.54282542695918
74,832500.0,4,4.0,3430,35102,2.0,0,10,2390,1040,1986,47.5822,-121.987,3240,35020,0,0,1,0,0,5.920384242178358
75,380000.0,4,1.75,1760,7300,1.0,0,7,880,880,1956,47.6034,-122.125,1680,7500,1,0,0,0,0,5.57978359661681
76,480000.0,3,1.0,1040,5060,1.0,0,7,1040,0,1941,47.5636,-122.394,890,5060,1,0,0,0,0,5.681241237375588
77,410000.0,3,1.0,1410,5060,1.0,0,7,910,500,1956,47.7073,-122.34,1130,5693,0,0,1,0,0,5.6127838567197355
78,720000.0,4,2.5,3450,39683,2.0,0,10,3450,0,2002,47.342,-122.025,3350,39750,1,0,0,0,0,5.857332496431268
79,390000.0,3,2.5,2350,5100,2.0,0,8,2350,0,2003,47.3512,-122.008,2350,5363,1,0,0,0,0,5.5910646070264995
